kernel,classic_cca,aqm,bdp,i,prague throughput,classic throughput,drops,classic,transition,scalable
5.15.72-56eae305c-prague-91,bbr2,FQ,8,9,47438886.15682486,47456378.81273687,,,,
5.15.72-56eae305c-prague-91,bbr2,FQ,8,1,47473732.253762245,47246661.576653875,,,,
5.15.72-56eae305c-prague-91,bbr2,FQ,8,4,47438927.26260922,47351375.75376227,,,,
5.15.72-56eae305c-prague-91,bbr2,FQ,8,3,47455981.840990864,47281092.06828982,,,,
5.15.72-56eae305c-prague-91,bbr2,FQ,8,6,47403736.587694176,47403610.9929635,,,,
5.15.72-56eae305c-prague-91,bbr2,FQ,8,7,47438671.143113665,47421148.55371372,,,,
5.15.72-56eae305c-prague-91,bbr2,FQ,8,0,47508746.82709508,47246615.91378147,,,,
5.15.72-56eae305c-prague-91,bbr2,FQ,8,8,47508699.3276162,47264206.912186645,,,,
5.15.72-56eae305c-prague-91,bbr2,FQ,8,5,47508263.1285095,47281313.45708968,,,,
5.15.72-56eae305c-prague-91,bbr2,FQ,8,2,47456536.1798688,47351569.85704768,,,,
5.15.72-56eae305c-prague-91,bbr2,FQ,2,9,47456351.13520852,47316558.60705667,,,,
5.15.72-56eae305c-prague-91,bbr2,FQ,2,1,47438814.22187364,47526147.63465107,,,,
5.15.72-56eae305c-prague-91,bbr2,FQ,2,4,47473445.8866426,47228873.1137576,,,,
5.15.72-56eae305c-prague-91,bbr2,FQ,2,3,47473406.333444566,47263698.92516837,,,,
5.15.72-56eae305c-prague-91,bbr2,FQ,2,6,47473893.6334401,47369023.0277587,,,,
5.15.72-56eae305c-prague-91,bbr2,FQ,2,7,47543703.66825379,47176849.46440964,,,,
5.15.72-56eae305c-prague-91,bbr2,FQ,2,0,47368982.77188737,47438981.80693306,,,,
5.15.72-56eae305c-prague-91,bbr2,FQ,2,8,47526242.66854461,47281640.42298826,,,,
5.15.72-56eae305c-prague-91,bbr2,FQ,2,5,47438763.630390264,47351377.331831336,,,,
5.15.72-56eae305c-prague-91,bbr2,FQ,2,2,47561244.705123164,47176848.67827998,,,,
5.15.72-56eae305c-prague-91,bbr2,FQ,4,9,47438870.34692676,47368870.68727274,,,,
